400.000000,-84.88
400.463252,-85.41
400.926503,-82.91
401.389755,-83.91
401.853007,-83.91
402.316258,-81.41
402.779510,-83.41
403.242762,-83.91
403.706013,-81.91
404.169265,-82.94
404.632517,-82.94
405.095768,-84.44
405.559020,-84.94
406.022272,-83.94
406.485523,-81.44
406.948775,-83.44
407.412027,-83.94
407.875278,-82.44
408.338530,-80.97
408.801782,-83.47
409.265033,-82.47
409.728285,-81.97
410.191537,-84.47
410.654788,-84.47
411.118040,-84.47
411.581292,-84.97
412.044543,-81.97
412.507795,-83.00
412.971047,-83.50
413.434298,-82.50
413.897550,-84.50
414.360802,-82.50
414.824053,-82.00
415.287305,-85.50
415.750557,-84.00
416.213808,-84.03
416.677060,-82.03
417.140312,-82.03
417.603563,-83.53
418.066815,-82.53
418.530067,-86.03
418.993318,-84.53
419.456570,-84.53
419.919822,-83.53
420.383073,-82.53
420.846325,-83.06
421.309577,-85.06
421.772829,-85.06
422.236080,-86.56
422.699332,-86.06
423.162584,-87.06
423.625835,-83.56
424.089087,-82.56
424.552339,-86.59
425.015590,-85.09
425.478842,-83.59
425.942094,-84.09
426.405345,-82.09
426.868597,-80.59
427.331849,-84.59
427.795100,-84.59
428.258352,-84.09
428.721604,-84.12
429.184855,-84.12
429.648107,-82.62
430.111359,-81.62
430.574610,-86.62
431.037862,-86.62
431.501114,-84.12
431.964365,-83.12
432.427617,-80.62
432.890869,-84.66
433.354120,-87.16
433.817372,-82.66
434.280624,-83.16
434.743875,-85.16
435.207127,-85.16
435.670379,-83.66
436.133630,-85.16
436.596882,-84.66
437.060134,-85.19
437.523385,-84.69
437.986637,-85.19
438.449889,-85.69
438.913140,-84.19
439.376392,-84.69
439.839644,-85.69
440.302895,-84.19
440.766147,-86.22
441.229399,-81.22
441.692650,-85.22
442.155902,-84.72
442.619154,-82.72
443.082405,-83.22
443.545657,-83.22
444.008909,-80.72
444.472160,-80.72
444.935412,-75.25
445.398664,-79.25
445.861915,-81.75
446.325167,-83.75
446.788419,-80.75
447.251670,-83.75
447.714922,-83.75
448.178174,-81.75
448.641425,-86.75
449.104677,-82.78
449.567929,-84.28
450.031180,-84.78
450.494432,-83.28
450.957684,-84.78
451.420935,-83.78
451.884187,-85.78
452.347439,-85.28
452.810690,-84.81
453.273942,-83.81
453.737194,-86.81
454.200445,-88.31
454.663697,-85.81
455.126949,-85.81
455.590200,-87.81
456.053452,-84.81
456.516704,-84.81
456.979955,-82.84
457.443207,-84.34
457.906459,-83.34
458.369710,-84.34
458.832962,-84.34
459.296214,-83.34
459.759465,-83.34
460.222717,-83.34
460.685969,-81.84
461.149220,-83.38
461.612472,-84.88
462.075724,-85.38
462.538976,-85.38
463.002227,-83.88
463.465479,-86.38
463.928731,-85.38
464.391982,-82.88
464.855234,-84.88
465.318486,-83.91
465.781737,-85.41
466.244989,-86.41
466.708241,-86.91
467.171492,-88.91
467.634744,-87.41
468.097996,-86.41
468.561247,-86.91
469.024499,-86.41
469.487751,-88.44
469.951002,-85.94
470.414254,-87.44
470.877506,-86.94
471.340757,-87.44
471.804009,-86.44
472.267261,-86.44
472.730512,-86.44
473.193764,-85.47
473.657016,-85.47
474.120267,-85.97
474.583519,-88.97
475.046771,-87.97
475.510022,-86.97
475.973274,-84.97
476.436526,-80.47
476.899777,-78.97
477.363029,-77.00
477.826281,-80.50
478.289532,-80.50
478.752784,-79.50
479.216036,-79.00
479.679287,-78.50
480.142539,-78.50
480.605791,-77.50
481.069042,-78.50
481.532294,-79.53
481.995546,-80.53
482.458797,-87.53
482.922049,-87.03
483.385301,-85.53
483.848552,-88.53
484.311804,-83.53
484.775056,-86.03
485.238307,-87.06
485.701559,-91.06
486.164811,-87.56
486.628062,-88.56
487.091314,-85.56
487.554566,-89.56
488.017817,-90.06
488.481069,-88.56
488.944321,-88.56
489.407572,-86.59
489.870824,-88.09
490.334076,-86.59
490.797327,-87.59
491.260579,-90.09
491.723831,-87.09
492.187082,-85.09
492.650334,-87.09
493.113586,-87.09
493.576837,-87.62
494.040089,-87.12
494.503341,-86.62
494.966592,-87.12
495.429844,-87.62
495.893096,-85.12
496.356347,-88.62
496.819599,-86.12
497.282851,-86.66
497.746102,-86.66
498.209354,-84.16
498.672606,-86.66
499.135857,-87.16
499.599109,-86.16
500.062361,-86.66
500.525612,-85.16
500.988864,-87.66
501.452116,-88.19
501.915367,-83.19
502.378619,-86.19
502.841871,-84.69
503.305122,-85.19
503.768374,-82.19
504.231626,-85.69
504.694878,-85.69
505.158129,-88.19
505.621381,-86.22
506.084633,-85.72
506.547884,-84.72
507.011136,-84.22
507.474388,-85.72
507.937639,-86.22
508.400891,-84.22
508.864143,-83.22
509.327394,-85.72
509.790646,-85.25
510.253898,-85.75
510.717149,-86.75
511.180401,-85.25
511.643653,-85.75
512.106904,-84.25
512.570156,-87.75
513.033408,-86.75
513.496659,-88.25
513.959911,-88.78
514.423163,-86.78
514.886414,-88.28
515.349666,-86.78
515.812918,-88.78
516.276169,-86.78
516.739421,-85.28
517.202673,-87.28
517.665924,-88.78
518.129176,-87.31
518.592428,-87.81
519.055679,-83.31
519.518931,-90.31
519.982183,-89.31
520.445434,-89.31
520.908686,-86.81
521.371938,-86.81
521.835189,-87.34
522.298441,-86.84
522.761693,-87.34
523.224944,-87.84
523.688196,-87.84
524.151448,-86.34
524.614699,-88.84
525.077951,-89.34
525.541203,-89.84
526.004454,-88.38
526.467706,-86.38
526.930958,-87.38
527.394209,-88.38
527.857461,-85.88
528.320713,-87.38
528.783964,-88.38
529.247216,-87.38
529.710468,-87.88
530.173719,-86.41
530.636971,-90.91
531.100223,-88.41
531.563474,-89.41
532.026726,-89.41
532.489978,-86.91
532.953229,-86.91
533.416481,-87.41
533.879733,-87.94
534.342984,-88.94
534.806236,-87.44
535.269488,-87.44
535.732739,-86.94
